started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-08-01 11:28:53.575000+00:00,2021-08-01 12:07:58.101000+00:00,2344,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-08-01 11:28:59.230000+00:00,2021-08-01 12:07:59.635000+00:00,2340,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-08-01 11:30:04.083000+00:00,2021-08-01 11:47:34.431000+00:00,1050,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-01 11:31:43.509000+00:00,2021-08-01 11:45:38.798000+00:00,835,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,1763,Comely Bank Road,Outside Raeburn Place Sports Ground,55.95941012836135,-3.2156613606136943
2021-08-01 11:34:10.346000+00:00,2021-08-01 11:38:35.037000+00:00,264,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-08-01 11:34:26.882000+00:00,2021-08-01 11:47:55.985000+00:00,809,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-01 11:38:55.510000+00:00,2021-08-01 11:55:35.653000+00:00,1000,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277438
2021-08-01 11:41:23.733000+00:00,2021-08-01 12:16:11.717000+00:00,2087,1737,Inverleith Row,Corner with Inverleith Terrace,55.96411787988959,-3.202094747416368,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-08-01 11:45:46.590000+00:00,2021-08-01 12:11:56.205000+00:00,1569,1770,Ellersly Road,Corner with A8 Corstorphine Road at Western Terrace,55.945045875212095,-3.250881447188249,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871
2021-08-01 11:46:30.085000+00:00,2021-08-01 12:24:57.213000+00:00,2307,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
